Year,Longitude,Latitude
2002,-87.732641264,41.90528152
2002,-87.650320383,41.794241476
2002,-87.643199714,41.766451393
2002,-87.762088481,41.895788523
2002,-87.683807247,41.939505116
2002,-87.73892969,41.870094592
2002,-87.700098398,41.933053899
2002,-87.599478862,41.744042177
2002,-87.637124349,41.679038406
2002,-87.718334431,41.87448398
2002,-87.737221581,41.883225213
2002,-87.617490782,41.79037523
2002,-87.674541574,41.773880333
2002,-87.660829146,41.789462555
2002,-87.722043736,41.97294747
2002,-87.613243011,41.68817534
2002,-87.730592841,41.747883905
2002,-87.715923041,41.767831215
2002,-87.717715752,41.961072112
2002,-87.650198227,41.801255138
2002,-87.625169769,41.839292845
2002,-87.656619157,41.799608153
2002,-87.764650028,41.874503125
2002,-87.670434929,41.785695591
2002,-87.743367178,41.815912705
2002,-87.606322266,41.746777845
2002,-87.650204674,41.709751877
2002,-87.544456732,41.7367537
2002,-87.70718566,41.953926868
2002,-87.721075101,41.854314622
2002,-87.6609258,41.897995943
2002,-87.669032293,41.777004548
2002,-87.730642732,41.864266513
2002,-87.674852215,41.883175418
2002,-87.671364054,41.949612343
2002,-87.668860547,41.771621992
2002,-87.762672513,41.879279292
2002,-87.75232483,41.919378398
2002,-87.613859922,41.807147543
2002,-87.759857617,41.924671469
2002,-87.756710494,41.891785235
2002,-87.622229624,41.850622191
2002,-87.651034795,41.786353153
2002,-87.670014078,41.769606111
2002,-87.591702219,41.755905259
2002,-87.720871448,41.843726168
2002,-87.748473361,41.968930428
2002,-87.65092848,41.965488685
2002,-87.710081187,41.873635421
2002,-87.770689566,41.898421553
2002,-87.741852752,41.892335357
2002,-87.69258078,41.884392612
2002,-87.645195215,41.903684856
2002,-87.732616867,41.915720462
2002,-87.633176413,41.824547594
2002,-87.711753943,41.954827095
2002,-87.539518051,41.670639213
2002,-87.718705481,41.941867914
2002,-87.686771907,41.940378045
2002,-87.620603115,41.785161229
2002,-87.57085566,41.766128517
2002,-87.716541971,41.994322796
2002,-87.716541971,41.994322796
2002,-87.67122617,42.006597588
2002,-87.623291703,41.791058882
2002,-87.606031086,41.784899752
2002,-87.617840659,41.771109757
2002,-87.602731072,41.750333637
2002,-87.713449858,41.840009037
2002,-87.612648949,41.808506601
2002,-87.612648949,41.808506601
2002,-87.626321671,41.679052044
2002,-87.723210771,41.880250961
2002,-87.647000785,41.904192368
2002,-87.751012133,41.908570443
2002,-87.617023154,41.825120341
2002,-87.58496638,41.760600983
2002,-87.665556377,41.784459849
2002,-87.610543647,41.722931724
2002,-87.628741678,41.841855999
2002,-87.632376054,41.817196299
2002,-87.636444736,41.782640368
2002,-87.636444736,41.782640368
2002,-87.644110028,41.804336273
2002,-87.696968596,41.853730781
2002,-87.760742929,41.880298781
2002,-87.70189321,41.77805157
2002,-87.557732549,41.751243434
2002,-87.600148257,41.74317925
2002,-87.730230676,41.851467867
2002,-87.720163668,41.86173298
2002,-87.680816194,41.940868498
2002,-87.767855685,41.892389506
2002,-87.717723549,41.861615644
2002,-87.688248952,41.880224549
2002,-87.703888855,41.847243062
2002,-87.770892949,41.896592139
2002,-87.750972878,41.878523519
2002,-87.67951392,42.017915454
2002,-87.754343852,41.893971467
2002,-87.747067993,41.883111246
2002,-87.655412657,41.722639867
2002,-87.696165706,41.791093755
2002,-87.704163107,41.779878003
2002,-87.7648888,41.881120698
2002,-87.775688115,41.791562181
2002,-87.585485249,41.752530636
2002,-87.676848576,41.797856683
2002,-87.631026734,41.766407813
2002,-87.704827656,41.858195058
2002,-87.709941292,41.935226302
2002,-87.53770286,41.707760141
2002,-87.66332628,41.792987089
2002,-87.761045687,41.905212543
2002,-87.635083943,41.735353297
2002,-87.690502072,41.966770867
2002,-87.729963837,41.901708207
2002,-87.705177359,41.890719081
2002,-87.734397463,41.905255019
2002,-87.608841323,41.750224137
2002,-87.692909399,41.848900274
2002,-87.663450096,41.907050205
2002,-87.631810137,41.793413672
2002,-87.587481894,41.762401133
2002,-87.726299253,41.931801344
2002,-87.610853154,41.732906506
2002,-87.759979208,41.909447071
2002,-87.645984517,41.733915138
2002,-87.704469775,41.927273891
2002,-87.722278936,41.890564371
2002,-87.655583058,41.803265661
2002,-87.631358477,41.900900778
2002,-87.685375727,41.78106065
2002,-87.623740846,41.850379066
2002,-87.773245905,41.880783054
2002,-87.707635983,41.890932833
2002,-87.681952409,41.765730859
2002,-87.699559587,41.878308924
2002,-87.662150113,41.72852756
2002,-87.703239078,41.824437372
2002,-87.584713912,41.763716858
2002,-87.685679404,41.853579859
2002,-87.748330069,41.898134191
2002,-87.727419042,41.903563633
2002,-87.775670361,41.922479877
2002,-87.737137548,41.899767079
2002,-87.679409481,41.933212356
2002,-87.704182713,41.870063174
2002,-87.774518865,41.924321146
2002,-87.709595247,41.859036094
