Year,Latitude,Longitude
2002,41.679052044,-87.626321671
2002,41.880250961,-87.723210771
2002,41.904192368,-87.647000785
2002,41.908570443,-87.751012133
2002,41.825120341,-87.617023154
2002,41.760600983,-87.58496638
2002,41.784459849,-87.665556377
2002,41.722931724,-87.610543647
2002,41.841855999,-87.628741678
2002,41.817196299,-87.632376054
2002,41.782640368,-87.636444736
2002,41.782640368,-87.636444736
2002,41.804336273,-87.644110028
2002,41.853730781,-87.696968596
2002,41.880298781,-87.760742929
2002,41.77805157,-87.70189321
2002,41.751243434,-87.557732549
2002,41.74317925,-87.600148257
2002,41.851467867,-87.730230676
2002,41.86173298,-87.720163668
2002,41.940868498,-87.680816194
2002,41.892389506,-87.767855685
2002,41.861615644,-87.717723549
2002,41.880224549,-87.688248952
2002,41.847243062,-87.703888855
2002,41.896592139,-87.770892949
2002,41.878523519,-87.750972878
2002,42.017915454,-87.67951392
2002,41.893971467,-87.754343852
2002,41.883111246,-87.747067993
2002,41.722639867,-87.655412657
2002,41.791093755,-87.696165706
2002,41.779878003,-87.704163107
2002,41.881120698,-87.7648888
2002,41.791562181,-87.775688115
2002,41.752530636,-87.585485249
2002,41.797856683,-87.676848576
2002,41.766407813,-87.631026734
2002,41.858195058,-87.704827656
2002,41.935226302,-87.709941292
2002,41.707760141,-87.53770286
2002,41.792987089,-87.66332628
2002,41.905212543,-87.761045687
2002,41.735353297,-87.635083943
2002,41.966770867,-87.690502072
2002,41.901708207,-87.729963837
2002,41.890719081,-87.705177359
2002,41.905255019,-87.734397463
2002,41.750224137,-87.608841323
2002,41.848900274,-87.692909399
2002,41.907050205,-87.663450096
2002,41.793413672,-87.631810137
2002,41.762401133,-87.587481894
2002,41.931801344,-87.726299253
2002,41.732906506,-87.610853154
2002,41.909447071,-87.759979208
2002,41.733915138,-87.645984517
2002,41.927273891,-87.704469775
2002,41.890564371,-87.722278936
2002,41.803265661,-87.655583058
2002,41.900900778,-87.631358477
2002,41.78106065,-87.685375727
2002,41.850379066,-87.623740846
2002,41.880783054,-87.773245905
2002,41.890932833,-87.707635983
2002,41.765730859,-87.681952409
2002,41.878308924,-87.699559587
2002,41.72852756,-87.662150113
2002,41.824437372,-87.703239078
2002,41.763716858,-87.584713912
2002,41.853579859,-87.685679404
2002,41.898134191,-87.748330069
2002,41.903563633,-87.727419042
2002,41.922479877,-87.775670361
2002,41.899767079,-87.737137548
2002,41.933212356,-87.679409481
2002,41.870063174,-87.704182713
2002,41.924321146,-87.774518865
2002,41.859036094,-87.709595247
